# step_dt, iter_dt, train_loss_dt, train_acc_dt, test_acc_dt, time_dt
   10.0000, 1280.0000,    0.0000,    1.0000,    0.9531,    8.1788
   20.0000, 2560.0000,    0.0000,    1.0000,    0.9844,   16.3460
   30.0000, 3840.0000,    0.0000,    1.0000,    0.9922,   24.4680
   40.0000, 5120.0000,    0.0000,    1.0000,    0.9922,   32.6291
   50.0000, 6400.0000,  258.6074,    0.9922,    0.9883,   40.7635
   60.0000, 7680.0000,    0.0000,    1.0000,    0.9844,   49.9639
   70.0000, 8960.0000,    0.0000,    1.0000,    0.9805,   58.0929
   80.0000,10240.0000,    0.0000,    1.0000,    0.9844,   65.5373
   90.0000,11520.0000,    0.0000,    1.0000,    0.9961,   73.7001
  100.0000,12800.0000,    0.0000,    1.0000,    0.9961,   82.0208
  110.0000,14080.0000,    0.0000,    1.0000,    0.9961,   91.3430
  120.0000,15360.0000,    0.0000,    1.0000,    0.9961,   99.5852
  130.0000,16640.0000,    0.0000,    1.0000,    0.9961,  107.7368
  140.0000,17920.0000,    0.0000,    1.0000,    0.9883,  116.0702
  150.0000,19200.0000,    0.0000,    1.0000,    0.9922,  124.5785
  160.0000,20480.0000,    0.0000,    1.0000,    0.9766,  133.3369
  170.0000,21760.0000,    0.0000,    1.0000,    0.9961,  141.5037
  180.0000,23040.0000,    0.0000,    1.0000,    0.9922,  149.6377
  190.0000,24320.0000,    0.0000,    1.0000,    0.9844,  157.7681
  200.0000,25600.0000,    0.0000,    1.0000,    0.9883,  166.1471
  210.0000,26880.0000,    0.0000,    1.0000,    0.9883,  175.9980
  220.0000,28160.0000,    0.0000,    1.0000,    0.9922,  184.2865
  230.0000,29440.0000,    0.0000,    1.0000,    0.9805,  193.3177
  240.0000,30720.0000,    0.0000,    1.0000,    0.9805,  201.4130
  250.0000,32000.0000,    0.0000,    1.0000,    1.0000,  210.0814
  260.0000,33280.0000,    0.0000,    1.0000,    0.9961,  219.6625
  270.0000,34560.0000,    0.0000,    1.0000,    0.9805,  227.9126
  280.0000,35840.0000,    0.0000,    1.0000,    0.9961,  236.1769
  290.0000,37120.0000,    0.0000,    1.0000,    0.9961,  244.6177
  300.0000,38400.0000,    0.0000,    1.0000,    0.9883,  253.0663
  310.0000,39680.0000,    0.0000,    1.0000,    0.9844,  262.5663
  320.0000,40960.0000,  361.9414,    0.9922,    0.9883,  270.2469
  330.0000,42240.0000,    0.0000,    1.0000,    0.9805,  278.5215
  340.0000,43520.0000,    0.0000,    1.0000,    0.9844,  286.7862
  350.0000,44800.0000,    0.0000,    1.0000,    0.9805,  295.3005
  360.0000,46080.0000,    0.0000,    1.0000,    0.9883,  304.9462
  370.0000,47360.0000, 1449.4883,    0.9922,    0.9766,  313.3174
